Time (sec),Axis0 Target Position (m),Axis0 Actual Position (m),Axis0 Target Velocity (m/s),Axis0 Actual Velocity (m/s),Axis0 Control Output (%),Axis0 Status Bits
0.138,10,9.99881935,0,0.00743835,0.432875067,16#0C202241
0.139,10,9.9987793,0,0.01133184,0.433836788,16#0C202241
0.14,10,9.9987793,0,0.011353919,0.434600264,16#0C202241
0.141,10,9.99881935,0,0.007243076,0.434769869,16#0C202241
0.142,10,9.9987793,0,0.001257296,0.435590565,16#0C202241
0.143,10,9.99881935,0,-0.003550114,0.435790777,16#0C202241
0.144,10,9.99881935,0,-0.00543001,0.436139733,16#0C202241
0.145,10,9.9987402,0,-0.004492799,0.437532574,16#0C202241
0.146,10,9.9987793,0,-0.002820279,0.438057572,16#0C202241
0.147,10,9.9987402,0,-0.002867506,0.439064503,16#0C202241
0.148,10,9.9987793,0,-0.0049391,0.439383656,16#0C202241
0.149,10,9.99881935,0,-0.007010545,0.439316243,16#0C202241
0.15,10,9.9987011,0,-0.006918615,0.440963358,16#0C202241
0.151,10,9.9987793,0,-0.005033148,0.441155642,16#0C202241
0.152,10,9.9987402,0,-0.003524418,0.441985041,16#0C202241
0.153,10,9.9987402,0,-0.003257504,0.442685932,16#0C202241
0.154,10,9.99885845,0,-0.003195246,0.441877335,16#0C202241
0.155,10,9.9987793,0,-0.001287845,0.442644566,16#0C202241
0.156,10,9.99889755,0,0.00384624,0.441863298,16#0C202241
0.157,10,9.9987793,0,0.011043662,0.443113565,16#0C202241
0.158,10,9.9987793,0,0.016698359,0.44403097,16#0C202241
0.159,10,9.9987793,0,0.016790407,0.444770783,16#0C202241
0.16,10,9.9987402,0,0.010172591,0.445892245,16#0C202241
0.161,10,9.9987402,0,-0.000536437,0.446748972,16#0C202241
0.162,10,9.9987793,0,-0.011180695,0.446987957,16#0C202241
0.163,10,9.9987402,0,-0.017858926,0.44784233,16#0C202241
0.164,10,9.9987793,0,-0.018536987,0.448080033,16#0C202241
0.165,10,9.9987793,0,-0.013909787,0.448457241,16#0C202241
0.166,10,9.9987402,0,-0.006425339,0.449385315,16#0C202241
0.167,10,9.9987402,0,0.000568305,0.450138867,16#0C202241
0.168,10,9.9987793,0,0.004258308,0.450322777,16#0C202241
0.169,10,9.9987793,0,0.00460489,0.450671285,16#0C202241
0.17,10,9.9987402,0,0.003620759,0.451584071,16#0C202241
0.171,10,9.99885845,0,0.002878179,0.450888455,16#0C202241
0.172,10,9.9987793,0,0.003449862,0.451716006,16#0C202241
0.173,10,9.99889755,0,0.006179659,0.450966924,16#0C202241
0.174,10,9.9987793,0,0.010536381,0.452234358,16#0C202241
0.175,10,9.9987402,0,0.01376557,0.453637362,16#0C202241
0.176,10,9.9987402,0,0.011828456,0.454644263,16#0C202241
0.177,10,9.9987402,0,0.003279704,0.455439806,16#0C202241
0.178,10,9.99881935,0,-0.008005514,0.455158144,16#0C202241
0.179,10,9.9987793,0,-0.01552308,0.455738127,16#0C202241
0.18,10,9.9987793,0,-0.015495415,0.456297934,16#0C202241
0.181,10,9.99885845,0,-0.009094308,0.4558824,16#0C202241
0.182,10,9.9987793,0,0.000195281,0.45685941,16#0C202241
0.183,10,9.99885845,0,0.009022747,0.456666529,16#0C202241
0.184,10,9.99881935,0,0.014809515,0.457274199,16#0C202241
0.185,10,9.99881935,0,0.016502718,0.457840592,16#0C202241
0.186,10,9.9987793,0,0.014123811,0.458872885,16#0C202241
0.187,10,9.9987793,0,0.008068253,0.459674031,16#0C202241
0.188,10,9.99881935,0,-7.43E-05,0.459863752,16#0C202241
0.189,10,9.9987793,0,-0.007232131,0.460695237,16#0C202241
0.19,10,9.99881935,0,-0.010722112,0.460901111,16#0C202241
0.191,10,9.9987793,0,-0.010071334,0.461741179,16#0C202241
0.192,10,9.9987793,0,-0.006856809,0.462439746,16#0C202241
0.193,10,9.9987793,0,-0.003465242,0.463062763,16#0C202241
0.194,10,9.99881935,0,-0.001337012,0.463157475,16#0C202241
0.195,10,9.99881935,0,7.58E-05,0.463450193,16#0C202241
0.196,10,9.9987793,0,0.001853243,0.464336604,16#0C202241
0.197,10,9.9987402,0,0.003265187,0.465536267,16#0C202241
0.198,10,9.99881935,0,0.002449438,0.465470225,16#0C202241
0.199,10,9.9987011,0,-0.000760953,0.467118084,16#0C202241
0.2,10,9.99881935,0,-0.00475451,0.466822684,16#0C202241
0.201,10,9.9987793,0,-0.007533527,0.467395306,16#0C202241
0.202,10,9.9987402,0,-0.007540631,0.468427628,16#0C202241
0.203,10,9.9987793,0,-0.005306959,0.468760312,16#0C202241
0.204,10,9.9987793,0,-0.002750233,0.469188184,16#0C202241
0.205,10,9.99889755,0,-1.79E-05,0.468225867,16#0C202241
0.206,10,9.9987793,0,0.004416596,0.469379574,16#0C202241
0.207,10,9.99881935,0,0.010120025,0.469757408,16#0C202241
0.208,10,9.99881935,0,0.01387612,0.470201164,16#0C202241
0.209,10,9.9987793,0,0.013363681,0.471168101,16#0C202241
0.21,10,9.99881935,0,0.009022026,0.471446276,16#0C202241
0.211,10,9.9987011,0,0.002433045,0.473277807,16#0C202241
0.212,10,9.99881935,0,-0.004947165,0.473080367,16#0C202241
0.213,10,9.99881935,0,-0.010911074,0.473217219,16#0C202241
0.214,10,9.9987793,0,-0.012391135,0.474020451,16#0C202241
0.215,10,9.99881935,0,-0.008646755,0.474211305,16#0C202241
0.216,10,9.99881935,0,-0.002206255,0.474555314,16#0C202241
0.217,10,9.99881935,0,0.00413662,0.47498098,16#0C202241
0.218,10,9.99881935,0,0.008679238,0.475450248,16#0C202241
0.219,10,9.9987793,0,0.010286843,0.476430804,16#0C202241
0.22,10,9.99881935,0,0.008497502,0.47671628,16#0C202241
0.221,10,9.99881935,0,0.004330012,0.477110714,16#0C202241
0.222,10,9.99881935,0,0.000199634,0.477563351,16#0C202241
0.223,10,9.99881935,0,-0.001942279,0.478046983,16#0C202241
0.224,10,9.99881935,0,-0.001899817,0.478547186,16#0C202241
0.225,10,9.9987793,0,-0.000797971,0.479544252,16#0C202241
0.226,10,9.99885845,0,3.96E-05,0.479362071,16#0C202241
0.227,10,9.99885845,0,0.000680516,0.479499012,16#0C202241
0.228,10,9.99893761,0,0.002934555,0.478841752,16#0C202241
0.229,10,9.99885845,0,0.00803922,0.479673475,16#0C202241
0.23,10,9.99893761,0,0.014488283,0.479386896,16#0C202241
0.231,10,9.9987793,0,0.018694971,0.48138085,16#0C202241
0.232,10,9.99885845,0,0.01718159,0.481730521,16#0C202241
0.233,10,9.99881935,0,0.009136681,0.48262769,16#0C202241
0.234,10,9.99889755,0,-0.001866125,0.48239556,16#0C202241
0.235,10,9.99881935,0,-0.010186467,0.483450741,16#0C202241
0.236,10,9.99881935,0,-0.013022241,0.48425588,16#0C202241
0.237,10,9.99881935,0,-0.011914842,0.484927565,16#0C202241
0.238,10,9.9987793,0,-0.009822241,0.486016124,16#0C202241
0.239,10,9.99885845,0,-0.008288234,0.485882729,16#0C202241
0.24,10,9.9987793,0,-0.007036596,0.487010241,16#0C202241
0.241,10,9.99881935,0,-0.005431075,0.487374038,16#0C202241
0.242,10,9.99893761,0,-0.003107359,0.486369371,16#0C202241
0.243,10,9.99881935,0,0.001045722,0.487492293,16#0C202241
0.244,10,9.99889755,0,0.007158138,0.487380594,16#0C202241
0.245,10,9.99885845,0,0.012661831,0.488023579,16#0C202241
0.246,10,9.99881935,0,0.014743797,0.489077181,16#0C202241
0.247,10,9.99897671,0,0.012799847,0.487964123,16#0C202241
0.248,10,9.99889755,0,0.009364745,0.488544673,16#0C202241
0.249,10,9.99889755,0,0.007837675,0.489080489,16#0C202241
0.25,10,9.99889755,0,0.008208236,0.489592463,16#0C202241
0.251,10,9.99889755,0,0.008031737,0.490091711,16#0C202241
0.252,10,9.99889755,0,0.006169037,0.490584195,16#0C202241
0.253,10,9.99893761,0,0.003410525,0.490584999,16#0C202241
0.254,10,9.99889755,0,0.001308747,0.491291374,16#0C202241
0.255,10,9.99893761,0,0.000780269,0.491406351,16#0C202241
0.256,10,9.99889755,0,0.00145138,0.492173642,16#0C202241
0.257,10,9.99889755,0,0.002184821,0.492809117,16#0C202241
0.258,10,9.99881935,0,0.001446504,0.494327128,16#0C202241
0.259,10,9.99893761,0,-0.001763106,0.493938208,16#0C202241
0.26,10,9.99893761,0,-0.005682534,0.493948668,16#0C202241
0.261,10,9.99889755,0,-0.006559432,0.494660139,16#0C202241
0.262,10,9.99897671,0,-0.003004394,0.494301409,16#0C202241
0.263,10,9.99889755,0,0.0029665,0.495284379,16#0C202241
0.264,10,9.99897671,0,0.008507947,0.495070428,16#0C202241
0.265,10,9.99893761,0,0.011735588,0.495642632,16#0C202241
0.266,10,9.99893761,0,0.012191833,0.496165812,16#0C202241
0.267,10,9.99897671,0,0.010339803,0.496186346,16#0C202241
0.268,10,9.99901581,0,0.007641246,0.495930821,16#0C202241
0.269,10,9.99901581,0,0.006548556,0.495996326,16#0C202241
0.27,10,9.99893761,0,0.007975145,0.497186035,16#0C202241
0.271,10,9.99901581,0,0.009675484,0.49708578,16#0C202241
0.272,10,9.99909496,0,0.009756579,0.496269673,16#0C202241
0.273,10,9.99897671,0,0.009622841,0.497460842,16#0C202241
0.274,10,9.99901581,0,0.010264399,0.497829765,16#0C202241
0.275,10,9.99901581,0,0.009771684,0.498228461,16#0C202241
0.276,10,9.99913406,0,0.007533192,0.497202128,16#0C202241
0.277,10,9.99909496,0,0.006540034,0.497308582,16#0C202241
0.278,10,9.99901581,0,0.008916647,0.498515576,16#0C202241
0.279,10,9.99901581,0,0.011728664,0.499361277,16#0C202241
0.28,10,9.99909496,0,0.010554902,0.499049902,16#0C202241
0.281,10,9.99913406,0,0.006048597,0.498592943,16#0C202241
0.282,10,9.99913406,0,0.003266414,0.498526782,16#0C202241
0.283,10,9.99909496,0,0.005146758,0.499145567,16#0C202241
0.284,10,9.99917316,0,0.009798079,0.498708397,16#0C202241
0.285,10,9.99913406,0,0.013998598,0.499121249,16#0C202241
0.286,10,9.99917316,0,0.016262941,0.4990426,16#0C202241
0.287,10,9.99917316,0,0.016461628,0.499170274,16#0C202241
0.288,10,9.99917316,0,0.015061403,0.499407977,16#0C202241
0.289,10,9.99921322,0,0.012884823,0.499216318,16#0C202241
0.29,10,9.99917316,0,0.010752751,0.499763489,16#0C202241
0.291,10,9.99925232,0,0.009223361,0.499260515,16#0C202241
0.292,10,9.99921322,0,0.008689784,0.499622017,16#0C202241
0.293,10,9.99929142,0,0.009503555,0.499023348,16#0C202241
0.294,10,9.99929142,0,0.011832862,0.498849243,16#0C202241
0.295,10,9.99921322,0,0.015003031,0.499854654,16#0C202241
0.296,10,9.99933052,0,0.016943423,0.499123067,16#0C202241
0.297,10,9.99929142,0,0.016319696,0.499346554,16#0C202241
0.298,10,9.99921322,0,0.013828528,0.500563979,16#0C202241
0.299,10,9.99929142,0,0.009681802,0.500421941,16#0C202241
0.3,10,9.99933052,0,0.004219332,0.50001514,16#0C202241
0.301,10,9.99933052,0,0.000450222,0.499935359,16#0C202241
0.302,10,9.99929142,0,0.001012482,0.50050658,16#0C202241
0.303,10,9.99933052,0,0.004562899,0.500480235,16#0C202241
0.304,10,9.99937057,0,0.008153193,0.500115454,16#0C202241
0.305,10,9.99933052,0,0.010693743,0.500537992,16#0C202241
0.306,10,9.99937057,0,0.012234791,0.500412643,16#0C202241
0.307,10,9.99937057,0,0.012559,0.50047487,16#0C202241
0.308,10,9.99944878,0,0.012147804,0.499684334,16#0C202241
0.309,10,9.99944878,0,0.012712102,0.499375671,16#0C202241
0.31,10,9.99937057,0,0.015053893,0.500276983,16#0C202241
0.311,10,9.99940968,0,0.01690324,0.500410438,16#0C202241
0.312,10,9.99940968,0,0.01520907,0.500602663,16#0C202241
0.313,10,9.99952793,0,0.010608956,0.499385417,16#0C202241
0.314,10,9.99940968,0,0.007040202,0.500273764,16#0C202241
0.315,10,9.99937057,0,0.006145616,0.501345217,16#0C202241
0.316,10,9.99944878,0,0.005090725,0.50109309,16#0C202241
0.317,10,9.99940968,0,0.001759332,0.501547992,16#0C202241
0.318,10,9.99948788,0,-0.001878933,0.500958979,16#0C202241
0.319,10,9.99944878,0,-0.002786305,0.501226187,16#0C202241
0.32,10,9.99948788,0,-2.32E-05,0.501005352,16#0C202241
0.321,10,9.99952793,0,0.005220798,0.500504553,16#0C202241
0.322,10,9.99952793,0,0.011357373,0.500334203,16#0C202241
0.323,10,9.99956703,0,0.017227547,0.499863684,16#0C202241
0.324,10,9.99948788,0,0.021380158,0.500666022,16#0C202241
0.325,10,9.99960613,0,0.022176042,0.499758154,16#0C202241
